group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_merge_n,,2,,,1410797.0,ns,2
parallel_merge_n,,2,,,2637020.0,ns,4
parallel_merge_n,,2,,,4120952.0,ns,6
parallel_merge_n,,2,,,5524307.0,ns,8
parallel_merge_n,,2,,,6828336.0,ns,10
parallel_merge_n,,2,,,8060264.0,ns,12
parallel_merge_n,,2,,,9432688.0,ns,14
parallel_merge_n,,2,,,11411749.0,ns,16
parallel_merge_n,,2,,,12379975.0,ns,18
parallel_merge_n,,2,,,13605023.0,ns,20
parallel_merge_n,,2,,,14874088.0,ns,22
parallel_merge_n,,2,,,16476403.0,ns,24
parallel_merge_n,,2,,,18119909.0,ns,26
parallel_merge_n,,2,,,19174379.0,ns,28
parallel_merge_n,,2,,,20810389.0,ns,30
parallel_merge_n,,2,,,21706073.0,ns,32
parallel_merge_n,,2,,,23049301.0,ns,34
parallel_merge_n,,2,,,23917295.0,ns,36
parallel_merge_n,,2,,,26099927.0,ns,38
parallel_merge_n,,2,,,27354356.0,ns,40
parallel_merge_n,,2,,,29531036.0,ns,42
parallel_merge_n,,2,,,30107787.0,ns,44
parallel_merge_n,,2,,,31028810.0,ns,46
parallel_merge_n,,2,,,32708729.0,ns,48
parallel_merge_n,,2,,,34037526.0,ns,50
parallel_merge_n,,2,,,35345277.0,ns,52
parallel_merge_n,,2,,,36531854.0,ns,54
parallel_merge_n,,2,,,38189752.0,ns,56
parallel_merge_n,,2,,,39237144.0,ns,58
parallel_merge_n,,2,,,41095844.0,ns,60
parallel_merge_n,,2,,,41832160.0,ns,62
parallel_merge_n,,2,,,43675226.0,ns,64
parallel_merge_n,,2,,,44853879.0,ns,66
parallel_merge_n,,2,,,46406332.0,ns,68
parallel_merge_n,,2,,,47542647.0,ns,70
parallel_merge_n,,2,,,49292167.0,ns,72
parallel_merge_n,,2,,,50056663.0,ns,74
parallel_merge_n,,2,,,51462648.0,ns,76
parallel_merge_n,,2,,,52680002.0,ns,78
parallel_merge_n,,2,,,54864978.0,ns,80
parallel_merge_n,,2,,,55890045.0,ns,82
parallel_merge_n,,2,,,57315689.0,ns,84
parallel_merge_n,,2,,,58937992.0,ns,86
parallel_merge_n,,2,,,59450508.0,ns,88
parallel_merge_n,,2,,,61543707.0,ns,90
parallel_merge_n,,2,,,61639070.0,ns,92
parallel_merge_n,,2,,,64380004.0,ns,94
parallel_merge_n,,2,,,63771124.0,ns,96
parallel_merge_n,,2,,,66302907.0,ns,98
parallel_merge_n,,2,,,66625887.0,ns,100
parallel_merge_n,,2,,,69321535.0,ns,102
parallel_merge_n,,2,,,70124635.0,ns,104
parallel_merge_n,,2,,,71655001.0,ns,106
parallel_merge_n,,2,,,72700022.0,ns,108
parallel_merge_n,,2,,,73838057.0,ns,110
parallel_merge_n,,2,,,75964849.0,ns,112
parallel_merge_n,,2,,,77642783.0,ns,114
parallel_merge_n,,2,,,78468482.0,ns,116
parallel_merge_n,,2,,,80274765.0,ns,118
parallel_merge_n,,2,,,80189010.0,ns,120
parallel_merge_n,,2,,,82171810.0,ns,122
parallel_merge_n,,2,,,84729007.0,ns,124
parallel_merge_n,,2,,,84944125.0,ns,126
parallel_merge_n,,2,,,84842660.0,ns,128
parallel_merge_n,,2,,,87314221.0,ns,130
parallel_merge_n,,2,,,88993933.0,ns,132
parallel_merge_n,,2,,,89397079.0,ns,134
parallel_merge_n,,2,,,91717545.0,ns,136
parallel_merge_n,,2,,,93492142.0,ns,138
parallel_merge_n,,2,,,95313456.0,ns,140
parallel_merge_n,,2,,,95771903.0,ns,142
parallel_merge_n,,2,,,96403657.0,ns,144
parallel_merge_n,,2,,,98879432.0,ns,146
parallel_merge_n,,2,,,99033041.0,ns,148
parallel_merge_n,,2,,,100426894.0,ns,150
parallel_merge_n,,2,,,103021160.0,ns,152
parallel_merge_n,,2,,,105271522.0,ns,154
parallel_merge_n,,2,,,106362666.0,ns,156
parallel_merge_n,,2,,,107775590.0,ns,158
parallel_merge_n,,2,,,107136449.0,ns,160
parallel_merge_n,,2,,,109016927.0,ns,162
parallel_merge_n,,2,,,109563594.0,ns,164
parallel_merge_n,,2,,,111722353.0,ns,166
parallel_merge_n,,2,,,112985531.0,ns,168
parallel_merge_n,,2,,,114715305.0,ns,170
parallel_merge_n,,2,,,115023412.0,ns,172
parallel_merge_n,,2,,,116545420.0,ns,174
parallel_merge_n,,2,,,119239636.0,ns,176
parallel_merge_n,,2,,,121223807.0,ns,178
parallel_merge_n,,2,,,121580232.0,ns,180
parallel_merge_n,,2,,,124334718.0,ns,182
parallel_merge_n,,2,,,125628203.0,ns,184
parallel_merge_n,,2,,,124736985.0,ns,186
parallel_merge_n,,2,,,126895948.0,ns,188
parallel_merge_n,,2,,,129498642.0,ns,190
parallel_merge_n,,2,,,131395871.0,ns,192
parallel_merge_n,,2,,,132609371.0,ns,194
parallel_merge_n,,2,,,133333593.0,ns,196
parallel_merge_n,,2,,,135275380.0,ns,198
parallel_merge_n,,2,,,135462582.0,ns,200
